"","EWS.T1","EWS.T2","EWS.T3","EWS.T4","EWS.T6","EWS.T7","EWS.T9","EWS.T11","EWS.T12","EWS.T13","EWS.T14","EWS.T15","EWS.T19","EWS.C8","EWS.C3","EWS.C2","EWS.C4","EWS.C6","EWS.C9","EWS.C7","EWS.C1","EWS.C11","EWS.C10","BL.C5","BL.C6","BL.C7","BL.C8","BL.C1","BL.C2","BL.C3","BL.C4","NB.C1","NB.C2","NB.C3","NB.C6","NB.C12","NB.C7","NB.C4","NB.C5","NB.C10","NB.C11","NB.C9","NB.C8","RMS.C4","RMS.C3","RMS.C9","RMS.C2","RMS.C5","RMS.C6","RMS.C7","RMS.C8","RMS.C10","RMS.C11","RMS.T1","RMS.T4","RMS.T2","RMS.T6","RMS.T7","RMS.T8","RMS.T5","RMS.T9","RMS.T3","RMS.T10","RMS.T11"
"183337",0.3863,0.6338,0.3197,0.1897,0.2734,0.3454,0.3844,0.2793,0.1439,1.4037,0.3076,0.4564,0.2668,0.1823,0.1017,0.0458,0.3388,0.2065,0.1972,0.1202,0.0223,0.1027,0.3025,3.7478,2.2453,1.845,1.3306,1.4104,2.2813,2.327,1.2046,0.0694,0.1358,0.145,0.0726,0.1076,0.2094,0.1029,0.1089,0.0899,0.0333,0.1032,0.0953,0.2891,0.2758,0.284,0.1848,0.1575,0.345,0.09,0.1297,0.0423,0.2123,0.6364,1.0284,0.149,0.5454,0.3501,0.6824,0.4988,0.5796,0.156,0.5509,0.2211
"839552",1.0744,0.5045,0.667,0.7018,1.8363,1.086,0.9306,0.7572,0.9607,1.3649,1.092,1.1127,1.0233,0.6626,0.7493,0.7431,1.1288,0.4754,0.469,1.4951,0.2788,0.3266,0.4304,1.5699,0.5799,0.5995,0.7369,0.3084,0.6805,0.5927,0.6237,0.7218,0.5842,0.5602,1.04,0.5884,0.6234,0.9259,0.9494,0.8094,1.2541,0.9182,0.4243,4.9605,3.3321,1.0142,0.6325,3.7419,3.4552,1.8588,2.3178,0.9952,1.175,4.9376,1.7205,3.8555,2.881,2.753,2.2819,1.8367,1.2703,1.637,5.1107,2.5542
"789204",2.9746,2.2642,1.8237,1.1556,0.4677,0.9517,1.5595,1.2368,1.3148,0.2649,0.5529,0.4917,1.4162,2.8425,0.8535,0.7503,2.8301,1.7984,1.674,4.1599,1.4322,2.2001,3.0921,4.2345,4.6174,5.0655,3.0888,4.6368,4.8972,3.8056,3.8433,3.6998,2.6731,2.0935,3.6361,4.3232,4.1791,3.5454,3.7722,2.9114,3.7845,4.5897,3.3759,3.6304,1.477,2.7665,1.6389,1.7969,3.8401,3.1593,2.5207,4.2765,1.2074,1.5322,2.4496,0.9503,1.3793,0.4705,1.4232,0.8284,0.8645,1.0964,0.9762,0.5128
"824602",2.5282,1.5676,1.0561,3.274,1.3076,0.8803,0.8515,1.3955,1.2704,0.9851,0.4506,0.6827,0.5064,0.4002,0.5167,0.4849,0.5594,0.6032,0.5622,0.6759,0.1546,0.2417,0.0774,1.9169,3.2754,3.2896,2.4262,0.7428,0.5591,0.8153,2.0914,0.0543,0.3648,0.0425,0.1065,0.0752,1.4194,0.5167,0.1438,1.0473,0.3195,0.205,0.0418,0.1412,0.2417,0.0614,0.3715,0.2414,0.2784,0.3875,0.0356,0.188,0.0629,0.9029,1.1143,0.6209,0.1596,0.1481,0.2695,1.9565,0.9337,0.2893,0.1144,0.5639
"796258",0.0881,0.1052,0.1812,0.3453,0.2197,0.2154,0.368,0.1826,0.1653,0.1682,0.1285,0.1598,0.1665,0.1596,0.116,0.1008,0.1087,0.2144,0.2003,0.2067,0.0395,0.1952,0.1307,0.2945,0.4377,0.4214,0.2245,0.0801,0.1186,0.1875,0.1594,0.1387,0.1865,0.2337,0.1602,0.3207,0.1644,0.2028,0.4008,0.333,0.1103,0.1884,0.2679,0.937,0.7634,1.0208,1.6402,1.4284,1.8691,1.1219,0.452,1.0142,1.2929,2.7899,1.7434,2.6948,0.4222,0.3642,1.2481,1.243,0.2945,1.2136,0.5968,0.7161
"796904",0.5827,0.369,0.4731,1.3338,0.1682,0.5007,0.3213,0.3671,0.5236,0.3768,0.5379,1.2511,0.2812,0.2702,0.2729,1.3228,0.4767,0.2065,0.2086,0.1357,0.5807,0.2955,0.1384,0.2078,0.6562,0.1936,0.2682,0.1353,0.1336,0.263,0.2042,0.2272,1.017,0.1943,0.092,0.1031,0.5841,0.1527,0.1786,0.0878,0.0968,0.1854,0.21,0.1818,1.1281,0.7654,0.5509,1.5047,0.1501,1.8226,0.1487,1.4774,1.0084,2.6773,2.758,0.8339,0.9135,0.4643,0.6025,0.7355,0.7461,2.8535,1.9098,4.2894
"814465",0.4349,0.6817,0.5444,0.4353,0.5583,0.5671,0.6158,0.3133,0.2631,0.2638,0.4116,0.6333,0.4075,0.3945,0.1157,0.3634,0.423,0.5082,0.4794,0.4283,0.1028,0.3385,0.4277,1.6827,1.4064,0.5878,1.1076,0.7859,0.5893,1.073,2.1552,0.8425,0.3461,0.4063,0.307,0.2465,0.2663,0.6026,0.6109,0.2672,0.642,0.6432,0.3275,0.4629,0.5557,0.3606,0.2365,0.3799,0.4613,0.3709,0.6378,0.2454,0.4191,0.3307,0.4528,0.2866,0.374,0.3238,0.2443,0.4163,0.3066,0.3037,0.3773,0.5841
"1409509",0.0993,0.1018,0.174,0.9494,0.2034,0.1897,0.3273,0.218,0.1373,0.2182,0.1647,0.1466,0.242,0.8138,0.2995,0.1231,0.1034,0.3715,0.3556,0.1137,0.0797,0.0616,0.7735,0.1083,0.0708,0.238,0.1146,0.1432,0.2167,0.17,0.1155,0.1114,0.6878,0.2818,0.0675,0.1093,0.7171,0.0648,0.1157,0.0803,0.028,0.1317,0.069,0.8146,0.889,0.8852,0.9803,1.9129,0.7505,1.3128,0.3093,1.5138,0.1992,1.8407,1.9668,0.209,3.1348,5.6447,0.9192,5.5506,0.4357,1.4065,1.9976,0.8151
"489489",0.621,1.3695,0.3412,1.7819,0.577,0.3974,0.6718,0.2945,0.3326,0.2891,0.2277,0.4673,0.3789,0.948,1.5368,1.3843,0.9809,0.6499,0.5918,1.2859,2.2777,0.9749,0.4849,1.6335,1.76,3.9294,2.8977,3.2841,1.6913,3.3939,3.0579,1.6992,1.5747,1.0261,1.6614,1.6911,0.8677,1.2139,1.1495,0.8517,0.6314,2.0403,2.5097,0.6946,1.1323,0.3436,0.3106,1.1322,1.5957,1.3233,1.87,1.7705,0.6899,1.3929,0.7481,0.7465,0.4984,0.2052,0.5418,1.2935,0.5508,0.5694,0.9899,0.5536
"263716",0.8427,1.4066,2.5165,2.0739,0.3213,0.4861,0.2665,0.2256,0.1025,0.3238,0.2069,0.153,0.3919,0.3912,0.4417,0.2383,0.7435,0.4448,0.4148,0.7166,0.257,0.1561,0.2056,0.2383,0.3086,0.1856,0.2721,0.3066,0.4478,0.2061,0.2573,0.8413,0.5237,0.6251,0.2441,0.2329,0.2785,0.3062,0.9397,0.2327,0.2012,0.275,0.2741,0.1999,0.6995,0.325,0.2909,0.5553,0.6464,0.2269,0.8731,0.2284,1.9415,1.3478,4.8114,1.6445,0.2732,0.1444,0.1736,0.43,0.4176,4.5534,5.5308,7.4599
"755145",2.5037,1.5811,2.5853,2.9098,2.7092,2.2142,1.7512,3.9255,1.9545,0.5579,1.6512,1.7592,1.0914,0.8219,1.329,2.4055,1.7699,1.3213,1.2975,0.5895,1.3019,1.1537,1.4265,2.3348,3.0931,4.6487,2.4011,4.5397,1.9477,3.3704,4.0279,0.5087,1.7247,0.7853,1.5517,2.6444,2.0337,2.7303,0.4676,0.7099,0.8336,0.8864,0.516,1.6914,1.1425,0.9125,1.1902,0.8029,1.3964,0.4357,0.1837,0.7118,1.2799,0.5802,0.628,1.1877,1.8532,1.2661,1.1209,1.1219,1.2652,1.7054,0.5524,0.9634
"700792",0.7128,0.8795,0.1936,0.2207,0.1427,0.3075,0.9617,0.5459,0.5654,0.1324,0.4052,0.4098,0.6432,0.7813,0.9457,0.6355,0.1199,0.5734,0.5349,1.0435,0.1808,0.2578,0.4174,3.5737,2.2461,2.4018,2.3751,1.5855,1.1038,1.0075,0.7069,0.4823,1.011,0.665,0.9026,0.9319,0.821,0.2614,1.2451,0.5258,0.7553,0.9793,1.2927,0.8233,0.4291,0.336,0.4933,1.0993,0.4531,0.6011,0.581,0.9624,0.1319,0.3777,0.1857,0.3028,0.4525,0.2211,0.1418,1.1226,0.6519,0.1798,0.3365,0.4207
"788107",0.5232,0.4542,0.6774,0.72,0.1503,0.2693,0.3896,0.2317,0.1027,0.3845,0.2133,0.3033,0.2742,0.3194,0.1273,0.0589,0.8334,0.6331,0.6377,0.2966,1.1291,0.306,0.1697,0.1051,0.0981,0.0643,0.0898,0.1196,0.1295,0.7516,0.6058,1.7326,0.2943,0.466,0.2847,0.3003,0.3748,0.3767,0.3346,0.5305,0.4469,0.4168,0.3474,0.5513,1.3872,0.8315,0.7966,0.8044,0.7248,0.4211,1.9781,0.4578,3.2101,0.9547,5.9337,0.981,1.207,2.5443,1.6373,0.6675,0.5031,4.9483,1.3686,4.1007
"843070",0.9446,0.6623,0.5062,0.514,0.5424,0.5415,0.6777,0.4858,0.3898,0.3097,0.39,0.6296,0.3625,0.3939,0.305,2.5484,0.4924,1.0396,0.9619,0.667,0.6909,0.3415,0.2838,1.0912,1.7057,2.0347,1.5356,0.8075,0.8158,1.2776,1.8456,0.7896,1.4198,0.5702,1.0567,1.2547,1.0639,1.013,0.9648,1.3804,0.9358,1.3705,1.1079,0.4444,0.3501,0.3401,0.4662,1.0917,1.2156,0.4723,0.9632,0.6049,0.8847,0.9279,0.5572,0.4003,0.6471,0.2787,0.7814,0.56,0.3486,0.219,0.2678,0.2268
"246035",0.0924,0.3255,0.2513,0.2593,0.1915,0.1309,0.2219,0.2531,0.0967,0.2233,0.0941,0.1426,0.3412,0.2205,0.3108,0.0906,0.0988,0.2119,0.1945,0.1739,0.0328,0.3434,0.2205,0.1293,0.3001,0.3611,0.3204,0.0946,0.1138,0.0939,0.1329,0.1457,0.163,0.2279,0.0913,0.2418,0.2064,0.143,0.2922,0.1189,0.0359,0.3353,0.2488,1.7019,1.03,1.0679,0.1593,0.2204,0.8976,1.2296,0.1277,0.7966,0.0639,2.3778,0.5611,1.3005,0.3821,0.0994,0.8255,0.619,0.5642,0.5655,0.6448,0.887
"66714",0.1721,0.1977,0.289,0.3908,0.2354,0.2124,0.3056,0.4266,0.1451,0.9198,0.2253,0.2182,0.3094,0.2028,0.0754,0.0845,0.0703,0.1195,0.1109,0.2243,0.0274,0.102,0.1324,0.1727,0.1476,0.147,0.1397,0.0931,0.1035,0.0947,0.1293,0.1082,0.1821,0.2528,0.1112,0.1846,0.0792,0.1259,0.2007,0.1331,0.2206,0.1326,0.1487,1.0627,0.4409,0.3689,1.2354,0.2622,1.1621,0.1006,0.2026,0.1751,0.0932,0.8216,2.1667,0.3125,0.3933,1.4259,2.8292,0.7304,0.6125,0.1723,0.2997,1.2402
"143306",0.4454,0.7601,0.3951,0.3909,0.493,0.3895,0.4775,0.3797,0.4889,0.8278,0.7442,1.0904,0.5914,1.0746,0.3015,0.4713,0.1445,0.3496,0.3124,0.5153,0.196,0.7193,0.8301,0.5148,0.3147,0.3489,0.496,0.1301,0.1024,0.1891,0.3135,0.2851,1.2626,0.7582,0.5861,0.208,1.3186,0.4471,0.7011,0.8192,0.8423,0.4236,1.0621,2.788,2.0205,2.8882,3.1422,0.8852,2.1242,0.776,1.3559,1.0922,0.9779,1.6207,1.1313,1.8912,0.9904,1.7241,1.8008,1.6278,0.8827,0.568,1.3437,2.8454
"324494",0.3137,0.1831,0.5471,1.0644,0.5055,1.9353,1.1119,0.72,0.4615,0.9074,0.8575,0.6407,0.4226,0.174,0.0418,0.0335,0.0964,0.1069,0.0963,0.1175,0.0147,0.0515,0.0705,0.2287,0.0798,0.0647,0.1002,0.1411,0.1299,0.0999,0.0941,0.0713,0.1328,0.1444,0.0595,0.052,0.0617,0.0676,0.0959,0.0599,0.0097,0.0842,0.062,1.1428,0.9126,1.3756,0.0424,0.8754,1.4314,0.2352,0.0669,0.2402,0.0782,1.0774,1.2045,1.3883,1.0427,1.9899,1.4289,1.0075,0.7416,2.1812,0.2607,0.4463
"490772",0.7256,0.7514,0.5969,0.3064,0.4322,0.477,0.6668,0.8847,0.5472,0.1901,0.282,0.3315,0.532,0.5014,2.1054,1.3831,0.7063,0.88,0.8204,0.5357,0.7437,1.3094,0.5406,2.0728,1.4237,1.2331,1.8964,2.0909,2,1.7661,1.4468,0.5633,0.9251,1.0164,1.5487,1.1323,0.8743,0.9625,0.3928,0.9106,1.2163,1.2234,0.715,1.204,0.6872,0.3511,0.7614,1.1904,0.9467,0.9685,0.6221,0.9539,0.229,1.0379,0.6329,0.6427,0.6854,0.2727,0.5063,0.5784,0.4905,0.5283,0.1631,0.8146
"770444",1.1625,1.2551,0.7809,0.4318,0.4963,1.022,0.5745,0.4373,0.3921,0.4545,0.5807,0.2207,0.2794,0.5468,0.6682,0.676,1.1071,0.7202,0.7237,0.7701,0.2846,0.4134,0.3848,1.0968,1.3297,1.1512,1.1794,3.2402,0.5326,1.2944,0.9159,0.2145,0.3316,0.3894,0.3936,0.4953,0.5364,0.3317,0.1786,0.8753,0.423,0.3175,0.2796,0.1451,0.4108,0.1953,0.4348,0.4087,0.3699,0.6263,0.8309,0.1515,0.6032,0.5772,0.8631,0.3176,0.2778,0.182,0.2597,0.3243,0.3447,0.2921,0.3013,0.2336
"344134",0.5752,0.4646,0.5121,0.2998,0.2031,0.9869,0.3222,0.52,0.3268,2.8694,0.7569,0.6347,0.8202,0.6866,0.6358,0.4197,0.6724,0.9431,0.9287,0.3805,0.404,0.7965,0.8463,2.625,3.2456,4.0725,2.5397,3.2127,5.6888,3.329,2.065,0.2348,0.4507,0.2947,2.1015,0.3278,0.7945,0.606,0.4703,0.2437,0.3847,0.2273,0.308,0.4976,1.2988,1.2969,1.1924,2.1876,0.9659,2.3597,0.3815,1.1779,0.4299,3.2837,0.5458,0.6477,0.7543,2.4587,1.3481,1.7372,0.6931,0.5032,0.4354,0.2544
"298417",0.2505,0.1895,0.2134,0.1693,0.3141,0.1955,0.4521,0.2726,0.1009,0.2842,0.1438,0.1208,0.3662,0.2304,0.1274,0.0947,0.1845,0.2103,0.1921,0.114,0.0705,0.2105,0.1676,0.1586,0.105,0.1704,0.1062,0.1288,0.1339,0.1369,0.1175,0.0739,0.1632,0.1662,0.1485,0.0841,0.2048,0.1381,0.1365,0.169,0.1924,0.1502,0.1943,2.2484,0.6865,0.3321,0.2516,0.1988,2.8966,0.5163,0.0669,0.8928,0.104,2.6047,0.1479,3.9432,0.2769,0.3405,0.1524,0.4842,0.4077,0.2599,0.0963,0.1014
"855390",0.3604,0.6636,0.4946,0.9194,0.3242,0.3446,0.3648,0.4118,0.4945,0.229,0.2155,0.3104,0.1527,0.2343,1.0743,1.1095,0.2964,0.5836,0.546,0.6858,0.9172,0.5473,0.352,0.6915,1.5206,0.9519,0.5786,0.9155,2.1636,1.2117,1.6707,1.5991,0.7977,0.6129,0.4912,1.5811,0.8418,1.3351,0.4516,0.7281,0.4789,1.3455,0.539,0.6214,0.3907,0.2218,0.3594,0.496,0.7412,0.4344,1.4054,0.3521,0.6459,0.6217,0.4076,0.7936,0.3342,0.201,0.3827,0.5672,0.4457,0.6725,0.459,0.5282
"770059",0.2524,1.225,1.763,1.6103,0.9243,0.5156,1.3429,0.7101,0.6541,3.8993,0.6102,1.0228,0.9972,0.2757,0.2375,0.4048,0.582,0.2805,0.2672,0.288,0.3397,0.9444,0.3846,0.2827,0.1962,0.1811,0.1734,0.2494,0.3078,0.2946,0.2794,0.3414,0.5899,0.308,0.4415,0.2034,0.715,0.5155,0.232,0.1719,0.2941,0.4543,0.2669,3.4836,2.6565,2.5895,1.006,1.0257,2.3469,1.6434,1.9917,1.9598,0.8711,3.4569,0.785,4.3233,1.6623,1.2852,1.6629,2.805,1.6941,3.9286,0.8498,0.1999
"80649",0.2433,0.402,0.2669,0.2996,0.4199,0.2069,0.4082,0.284,0.1594,0.1949,0.2404,0.3891,0.5095,0.1175,0.4047,0.3125,0.523,0.1581,0.1485,0.2021,0.3511,0.1413,0.0655,0.6006,1.3519,0.6125,0.8192,1.4016,0.7218,1.166,1.3264,0.3734,0.8781,0.7641,0.1994,0.0984,0.1686,0.7397,0.5019,0.2177,0.1678,0.1555,0.1013,0.2903,0.5461,0.1343,0.1144,0.3257,0.1686,0.3166,0.6246,0.1293,0.4639,0.4412,0.351,0.4902,0.4349,0.2023,0.3456,0.7151,0.8525,0.3473,0.2861,0.6616
"745019",0.3098,0.3648,0.3268,0.6515,0.4455,0.4058,0.7795,0.3409,0.4277,0.3814,0.3464,0.4626,0.251,0.6108,0.4107,0.6093,0.3944,0.3668,0.3667,0.341,0.3525,0.6905,0.5695,1.1521,1.4527,1.4889,1.6262,0.8665,1.2949,1.7672,1.6346,0.4763,0.7882,0.3658,0.2073,0.2821,0.3223,0.3017,0.55,0.4724,0.3148,0.4272,0.2026,0.1095,0.7101,0.7566,0.3585,0.3144,0.3055,1.1852,0.9867,0.5171,0.6284,0.5138,0.5112,0.3213,0.0425,0.0937,0.6056,1.1186,1.1176,0.3045,0.5078,0.1876
"740604",0.4147,0.2785,0.2982,0.5336,0.3906,0.3518,0.439,0.2475,0.1981,0.2256,0.2421,0.2576,0.2663,0.1656,0.0993,0.1698,0.4653,0.2205,0.2151,0.2882,0.1218,0.1933,0.1602,2.0555,1.5561,3.1465,1.3678,0.8978,0.2061,0.9554,0.8831,0.1003,0.2671,0.247,0.2252,0.148,0.1926,0.1166,0.2539,0.2993,0.1328,0.2367,0.349,0.146,0.3458,0.2536,0.1854,0.2311,0.2726,0.1556,0.3201,0.2064,0.458,0.2526,0.3627,0.1905,0.202,0.1936,0.1653,0.367,0.5064,0.2379,0.1509,0.1141
"781047",0.3694,1.1844,0.2095,0.2916,0.169,0.2978,0.5647,0.3095,0.3009,0.1566,0.1743,0.2575,0.6282,0.2557,0.4566,0.6345,0.1638,0.6489,0.6235,0.9767,0.421,0.2642,0.2369,4.6314,2.8488,1.8966,1.7721,0.7693,0.4825,0.5669,1.3852,0.4242,0.6845,0.5976,0.9202,1.0745,0.6481,0.6855,1.1402,0.798,0.9862,0.8135,1.0453,1.0424,0.7555,0.3284,0.6302,0.8708,0.934,1.6234,0.5151,2.3096,0.2673,0.4367,0.3018,0.2477,0.8168,0.2526,0.2373,0.6735,0.5625,0.2835,0.4989,0.8034
"129387",0.5677,0.4885,0.6398,0.6545,0.483,0.5165,0.5384,0.3997,0.256,0.345,0.3363,0.1939,0.3806,0.3508,0.2072,0.2636,1.4667,0.621,0.5737,0.8626,0.6059,0.7505,0.5488,1.3266,2.1554,1.4731,1.3334,1.0776,0.9019,0.6624,1.1406,0.4449,0.3475,0.3391,0.8487,0.487,0.477,0.6375,0.7193,1.0824,0.5936,0.6832,0.6505,0.2819,0.357,0.5236,0.4366,0.4253,0.4671,0.4736,0.4695,0.4298,0.7812,0.4582,1.0137,0.4645,0.4218,0.5286,0.3399,0.3418,0.4022,0.6342,0.2437,0.1087
"773568",0.5573,0.6832,0.4507,0.328,0.4186,0.6532,0.3912,0.5181,0.292,0.2149,0.3027,0.2832,0.4685,0.551,0.3343,0.1887,1.0924,0.8259,0.7435,0.3977,0.5869,0.5555,0.5261,0.1733,0.1754,0.0939,0.1037,0.3245,0.151,0.198,0.1844,0.2201,0.2367,0.2655,0.15,0.3189,0.1452,0.1618,0.2469,0.2364,0.1597,0.3171,0.4544,3.7234,0.9931,0.3855,0.7379,0.4673,1.7797,1.1661,0.9104,0.4562,0.289,1.1542,1.5136,0.6872,0.1852,0.2036,0.4568,2.2946,0.4009,0.4793,0.2033,0.1692
"530185",0.6927,0.5579,0.4448,0.4958,0.3923,0.2442,0.6217,0.3279,0.3324,0.5893,0.3226,0.4697,0.2679,0.439,0.3257,0.267,0.6136,0.5323,0.4923,0.4984,0.2325,0.5497,0.7068,2.3301,1.1629,1.2601,0.5052,0.5165,0.5097,0.9389,1.1716,0.3423,0.3324,0.3644,0.2514,0.3444,0.1699,0.3229,0.4287,0.3043,0.218,0.2747,0.5502,0.1782,0.2671,0.4421,0.1572,0.3598,0.3127,0.4265,0.2244,0.3299,0.3728,0.3075,0.4608,0.2334,0.0941,0.2401,0.2076,0.4638,0.3858,0.295,0.1783,0.1935
"810512",0.1151,0.1711,0.2237,0.1698,0.4006,0.3342,0.5747,0.2837,0.1704,1.3713,0.8427,0.4566,1.4055,0.244,0.1085,0.0711,0.1674,0.4294,0.4321,0.4765,0.0203,0.1017,0.3045,0.417,0.1784,0.2791,0.2484,0.136,0.169,0.1216,0.8185,0.6098,0.1975,0.1954,0.4701,0.2843,0.2971,0.165,0.3461,0.3582,0.4398,0.2748,0.1568,0.386,0.6191,0.4448,0.2987,0.368,0.3052,0.1259,0.3728,0.3451,0.415,0.2124,0.2589,0.2385,1.4139,1.074,3.1337,1.6959,12.424,0.1544,1.4785,2.1246
"624360",0.2537,1.0198,1.074,0.754,0.7351,0.475,0.6784,1.176,1.0694,0.698,0.5307,0.713,0.3252,1.3554,0.3729,0.4451,0.3432,0.3652,0.3351,0.362,0.3037,0.7874,0.3395,1.0651,1.1727,2.3789,1.7087,2.0027,2.3671,1.8026,3.0425,0.3622,0.8984,0.7397,0.2091,0.2742,0.5188,0.3502,0.5389,0.3796,0.2357,0.2475,0.4963,0.0257,0.2126,0.4031,0.5448,0.4513,0.2221,0.3086,0.4031,0.3222,0.4016,0.735,0.4278,0.5372,0.0749,0.3075,0.1605,0.3754,0.4487,0.6097,0.1506,0.3607
"813841",0.142,0.1761,0.2207,0.316,0.1628,0.2061,0.2399,0.2003,0.1408,0.6432,0.169,0.1367,0.8979,0.1288,0.111,0.0506,0.1463,0.1542,0.1463,0.112,0.0693,0.0659,0.1905,0.1179,0.0567,0.0954,0.0982,0.1926,0.1428,0.1421,0.1031,0.1513,0.4649,0.3076,0.1372,0.2235,0.4348,0.0675,0.1415,0.1827,0.8001,0.1683,0.1764,0.5702,0.9436,0.8734,2.0141,0.3251,0.3236,0.7832,1.114,1.7801,0.6457,0.3237,1.226,0.2329,0.6576,0.3919,1.0674,1.1095,1.527,0.2091,1.711,0.6376
"813630",0.1387,0.1677,0.2129,0.1614,0.1872,0.303,0.3164,0.224,0.1396,0.4616,0.1996,0.1587,0.6197,0.4204,0.0914,0.04,0.1655,0.2849,0.2708,0.2101,0.0309,0.0822,0.1616,5.3188,0.2851,0.5745,0.261,0.2926,0.3255,0.4652,0.2082,0.5907,0.2598,0.2337,0.3691,0.2768,0.2897,0.3596,0.4745,0.441,0.191,0.2568,0.3037,0.1703,0.3366,0.1998,0.2221,0.2815,0.2615,0.2612,0.1423,0.4577,0.1169,0.1522,0.323,0.1709,0.6158,0.2644,0.3968,1.8546,0.9847,0.305,0.54,0.1496
"200814",0.1978,0.2407,0.1838,0.2901,0.2971,0.2191,0.2731,0.3217,0.1614,1.6346,0.2056,0.1551,0.238,0.0483,0.0845,0.0497,0.2291,0.079,0.0728,0.0751,0.0716,0.0356,0.0235,0.3032,0.4614,1.1293,0.5359,3.1303,2.696,1.4871,0.9,0.0635,0.2379,0.1802,0.2451,0.0423,0.3064,0.0872,0.0882,0.0418,0.2422,0.1921,0.1009,0.1637,0.3352,0.168,0.339,0.2155,0.1877,0.2591,0.087,0.183,0.1196,0.2375,0.2056,0.2267,0.1405,1.0795,0.181,0.4042,1.0285,0.2646,0.0942,0.1132
"813823",0.8259,0.8264,1.0211,5.2846,0.2862,0.2604,0.4735,0.4073,0.1632,1.981,0.1814,0.1615,0.5774,0.1468,0.1189,0.1046,0.3203,0.0757,0.0715,0.4581,0.1326,0.0558,0.0571,0.1193,0.0515,0.0681,0.0677,0.1543,0.127,0.1093,0.1021,0.1852,0.2656,1.3279,0.5574,0.269,0.7167,0.0588,0.2177,0.184,0.162,0.5697,0.3091,0.6675,0.2418,0.1291,0.4655,0.1761,0.0902,0.0584,0.0703,0.1854,0.3101,1.3117,5.078,2.6683,1.8932,6.713,0.7692,2.7686,1.2077,0.9611,0.8531,0.4701
"809901",0.3111,0.2855,0.9188,1.0225,0.2737,0.2961,0.8706,0.4669,0.3763,3.6312,0.2439,0.3345,0.6094,0.0683,0.0438,0.0379,0.107,0.0612,0.0558,0.0684,0.018,0.067,0.0605,0.0901,0.065,0.1143,0.1042,0.1256,0.1252,0.1108,0.1288,0.0658,0.1373,0.1742,0.0331,0.0676,0.0452,0.0517,0.096,0.0323,0.0128,0.0719,0.0603,0.3055,0.3221,0.059,1.134,0.0729,0.1251,0.1413,0.9879,0.0373,1.2031,0.7841,5.1071,1.1644,1.6438,2.4927,0.7851,1.2038,1.2711,0.7719,0.507,1.1594
"122159",1.3401,1.4915,4.4487,9.3037,0.7526,1.3737,3.6197,1.8382,0.4437,19.277,1.0377,0.8631,4.9226,0.3316,0.4096,0.1824,0.1823,0.2387,0.2337,0.4297,0.1559,0.1153,0.2442,0.277,0.1451,0.1111,0.0749,0.4169,0.2193,0.2209,0.1668,0.1675,0.8613,1.4641,0.8446,0.4115,2.4711,0.161,0.2836,0.4577,1.4824,0.8322,0.5539,0.2072,1.2652,0.919,8.5831,0.1915,0.1046,0.1189,0.3255,0.6865,4.0984,3.0805,7.1559,3.6051,11.151,18.37,9.5045,9.9151,12.839,6.0881,5.4484,4.0683
"298155",0.8364,0.7572,0.6875,1.0051,0.518,0.8967,0.6001,0.5201,0.8467,0.5299,0.7148,0.4608,0.4286,0.1166,0.3855,0.7229,1.3891,0.2954,0.2703,0.336,0.3907,0.1303,0.1216,0.9331,1.5294,3.3888,2.1794,2.0471,0.8876,2.252,1.6762,0.9022,0.622,0.694,1.4656,1.559,0.5079,0.6282,0.2334,1.1673,0.6303,1.3515,0.5094,0.8351,0.5661,0.1475,0.4734,0.3806,0.6988,0.4599,0.8166,0.5115,1.2802,0.5447,1.5389,0.7162,0.6169,0.9605,0.6615,0.5615,0.454,0.6972,0.6011,0.2843
"714106",0.1582,0.392,0.4712,0.6091,0.4423,0.2725,0.5429,0.3526,0.1229,0.561,0.1734,0.1544,0.3345,0.0912,0.0764,0.0627,0.1407,0.1112,0.103,0.0662,0.0488,0.0785,0.0542,0.0751,0.0677,0.0616,0.0697,0.099,0.1244,0.1369,0.1227,0.0823,0.6463,0.158,0.0999,0.0305,0.617,0.0666,0.0625,0.0536,0.3959,0.0819,0.0406,0.3338,0.7154,0.4197,4.3636,0.1102,0.7846,0.4746,0.7914,0.7872,0.3356,0.4898,0.5629,0.3361,0.463,0.2885,0.6877,0.4235,2.848,0.5431,0.1727,0.2054
"609663",0.6507,0.084,0.1838,0.3586,0.3173,0.9717,1.006,0.5255,0.4778,1.5378,0.2228,0.2867,0.1829,0.0879,0.2725,0.3235,0.2088,0.2558,0.2214,0.5764,0.1088,0.0569,0.1033,1.1608,1.6185,3.7828,2.5348,3.2213,0.7423,2.701,1.9968,0.5856,0.3016,0.3964,0.961,0.5915,0.3052,0.8268,0.8433,1.3025,1.2242,1.6183,0.8701,0.4976,0.337,0.0483,0.0624,0.3701,0.3011,0.2883,0.0734,0.4342,0.0609,0.3311,0.1178,0.2398,0.1973,0.3757,0.153,0.4229,0.5901,0.1192,0.1231,0.1533
